mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
262.89075501759845,6.152006156900445,0.2544979254404704,0.11317727994626232,200,2,2,,30,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 30}",-0.6460265145229037,-0.6609820640441151,-0.904474186476426,-0.7371609216811482,0.11846578563087709,7
251.85581302642822,6.848592136917986,0.23133397102355957,0.06800756494781991,200,5,2,,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}",-0.6431410517505401,-0.663831179411588,-0.8940779451675939,-0.7336833921099073,0.11373017727231673,4
182.8144702911377,8.086768427224342,0.12618041038513184,0.030149245734115294,100,2,1,,30,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 30}",-0.649932945443338,-0.6649450911127238,-0.8773206881733728,-0.730732908243145,0.10383423985068514,1
12.15107528368632,0.7361296640230961,0.2751460075378418,0.11028845395917576,200,2,1,sqrt,30,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",-0.6628972422224316,-0.6736040163195426,-0.9378067921192781,-0.7581026835537509,0.12714514993866857,10
182.86431233088175,2.9332504651042175,0.1277327537536621,0.04790061088039961,100,2,1,,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}",-0.6515826213522828,-0.6658290999887856,-0.8900085036943277,-0.7358067416784655,0.10919211844262558,5
362.07106908162433,24.945276239394797,0.23557591438293457,0.07455160576131005,200,2,1,,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}",-0.6470742149795028,-0.662604796543586,-0.9001289742490963,-0.7366026619240618,0.115804262609797,6
127.94683146476746,8.789772819787384,0.19027225176493326,0.04375006147719632,100,5,2,,30,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 30}",-0.6437059946745931,-0.6635731511310089,-0.8932468998820988,-0.7335086818959002,0.11324280607164601,3
279.13841819763184,0.15251330317599274,0.16465973854064941,0.07246012881473897,200,2,1,,30,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 30}",-0.6474445864313186,-0.6643562621020369,-0.8880702002529065,-0.7332903495954207,0.10966343304451459,2
110.16103180249532,13.390532732466802,0.17590840657552084,0.0632083130321108,100,2,2,,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}",-0.6476268068260803,-0.6627190733741831,-0.9118220079064586,-0.7407226293689074,0.12114231886323332,8
6.236422061920166,0.8394856157832039,0.10615166028340657,0.04374673538355136,100,2,1,sqrt,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",-0.6639943552458193,-0.6765977626628976,-0.9354021074936747,-0.7586647418007972,0.12507806573942437,11
4.006168683369954,0.1228613561870958,0.09752488136291504,0.01075715954004701,100,2,2,sqrt,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",-0.6608639252391058,-0.6726965023219736,-0.9316214706972374,-0.7550606327527722,0.12494078488586575,9
6.658242702484131,1.0029602634188444,0.08473443984985352,0.026588835162017124,100,2,1,sqrt,30,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",-0.665445427132358,-0.6758853196419707,-0.9377278473229973,-0.759686198032442,0.12596658154838497,12
