mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
260.2813657124837,3.192221042356779,0.1343839963277181,0.030825207078471167,200,2,2,,30,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 30}",-1.0169098356062858,-1.046910986248194,-1.1184904372666848,-1.0607704197070549,0.042612342345636676,5
261.0417329470317,4.375309781924864,0.18749173482259116,0.03810898472709592,200,5,2,,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}",-1.023300471239335,-1.0480381490977593,-1.1229041624305618,-1.0647475942558853,0.04234483827535249,10
185.4345166683197,4.049140949743336,0.1387446721394857,0.024747824074995064,100,2,1,,30,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 30}",-1.0140473777829973,-1.0475524170056874,-1.1084136526763675,-1.0566711491550176,0.039060738312882225,1
11.260815223058065,1.7554821678878332,0.10274465878804524,0.04413164575091091,200,2,1,sqrt,30,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",-1.0351173267933116,-1.0580818544881099,-1.096182922610763,-1.0631273679640614,0.025183918847975127,7
172.6719183921814,8.531621120660947,0.11141069730122884,0.022227414692095767,100,2,1,,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}",-1.0234641775695403,-1.042713283061486,-1.1176212102494338,-1.06126622362682,0.040616461387687354,6
347.5191269715627,2.8457637327516396,0.22354229291280112,0.08635935889846516,200,2,1,,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}",-1.0221999431348663,-1.0414699180899463,-1.1144447418170969,-1.0593715343473031,0.0397293058874727,3
122.22876159350078,2.009797156242258,0.12492100397745769,0.05683679744820042,100,5,2,,30,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 30}",-1.0283651114747494,-1.0431106075603043,-1.1187515158868655,-1.0634090783073065,0.039593319820712396,8
260.113068262736,11.458960348854804,0.1115720272064209,0.04001715769620482,200,2,1,,30,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 30}",-1.0185037291396692,-1.0419113759760121,-1.113773558346681,-1.0580628878207874,0.0405358984147569,2
100.5428675810496,22.373444332853598,0.12043102582295735,0.03958573272472083,100,2,2,,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}",-1.0208727014743562,-1.0380428807809405,-1.120289664728649,-1.0597350823279819,0.04338853037108968,4
5.587777376174927,0.15782550576258736,0.08953134218851726,0.029228635364762622,100,2,1,sqrt,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",-1.0482343233517128,-1.0592991442147635,-1.1205005470962242,-1.0760113382209002,0.03178128217412471,12
5.26339594523112,1.4336190089793255,0.11028806368509929,0.026011619394298528,100,2,2,sqrt,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",-1.0405092342740587,-1.062171785723116,-1.096681465772032,-1.066454161923069,0.023131276911055865,11
4.961540460586548,0.6601178604042078,0.11792524655659993,0.0213026682805372,100,2,1,sqrt,30,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",-1.0380508010115312,-1.0539327824829317,-1.1001713580788917,-1.0640516471911183,0.02635064160922504,9
