tower_hidden_layers,fusion_hidden_layers,learning_rate,batch_size,trial,train_loss,val_loss,val_mae,val_r2,test_mae,test_r2
"(256, 128)","(128, 64)",0.001,32,0,0.22221899032592773,1.084632158279419,0.6862904303243657,0.4728861317001143,0.7109015831184436,0.4408370295009827
"(256, 128)","(128, 64)",0.001,32,1,0.22630202770233154,0.9333177804946899,0.6811699095419412,0.46336823595260535,0.7110463016928242,0.455770154869757
"(256, 128)","(128, 64)",0.001,32,2,0.20160122215747833,1.00059175491333,0.7044884603482897,0.4577070986073375,0.6804482935513885,0.47982873974075047
"(256, 128)","(128, 64)",0.001,64,0,0.14897730946540833,0.9334672093391418,0.6849142120852584,0.46280856554510497,0.6902118474621463,0.4695034468965732
"(256, 128)","(128, 64)",0.001,64,1,0.16077642142772675,0.8638312816619873,0.6868553637234446,0.4703868690550227,0.6895195900948444,0.4697381771977167
"(256, 128)","(128, 64)",0.001,64,2,0.11957544088363647,0.9707562923431396,0.685804695015215,0.46911101707666825,0.6914305054150808,0.46523352100030446
"(256, 128)","(128, 64)",0.0001,32,0,0.20633377134799957,0.8263402581214905,0.691157799121339,0.46607682069431056,0.6963571761057195,0.46079287062591734
"(256, 128)","(128, 64)",0.0001,32,1,0.2304987907409668,0.8189268112182617,0.6849580060244762,0.46947275978285385,0.7005778199393256,0.44989774219101575
"(256, 128)","(128, 64)",0.0001,32,2,0.22069378197193146,0.8130940198898315,0.6879207811689485,0.4730168691270016,0.697520184557372,0.4590575014076942
"(256, 128)","(128, 64)",0.0001,64,0,0.27619192004203796,0.8127274513244629,0.6930130483593447,0.46681345879976455,0.6941793713983709,0.468238319648803
"(256, 128)","(128, 64)",0.0001,64,1,0.29675179719924927,0.8693203926086426,0.716204708752137,0.43281006198658845,0.7098479367597481,0.4443475401074186
"(256, 128)","(128, 64)",0.0001,64,2,0.237155482172966,0.8419299721717834,0.7034799808826382,0.44975909505510725,0.7032321962062136,0.45849262396732327
"(256, 128)","(256, 128)",0.001,32,0,0.13068529963493347,0.8195897936820984,0.6757301157695641,0.479390455538392,0.6867175498744129,0.4793486281036894
"(256, 128)","(256, 128)",0.001,32,1,0.09090918302536011,0.8280070424079895,0.6698348573784613,0.4778776810600698,0.6821420071630292,0.47200695177747154
"(256, 128)","(256, 128)",0.001,32,2,0.1934347003698349,0.9082093834877014,0.7089006774884063,0.44375727354736294,0.6875725744949609,0.4800408248434621
"(256, 128)","(256, 128)",0.001,64,0,0.15660949051380157,0.8289538621902466,0.6686486323621765,0.49684703458640733,0.6943212895084394,0.46333865523462836
"(256, 128)","(256, 128)",0.001,64,1,0.10116443037986755,0.9241577386856079,0.6667059899967696,0.47629605997859936,0.6575984481626993,0.502163996235292
"(256, 128)","(256, 128)",0.001,64,2,0.1802501529455185,0.7921397686004639,0.673768788387644,0.4954752127610307,0.674268350798091,0.4917365514899844
"(256, 128)","(256, 128)",0.0001,32,0,0.1455918699502945,0.8351064920425415,0.6870809830792847,0.4724443214130587,0.6985210426521291,0.4670414605239289
"(256, 128)","(256, 128)",0.0001,32,1,0.10566416382789612,0.8032673001289368,0.6627170723109711,0.49029555996383745,0.665462987370919,0.4994584092079769
"(256, 128)","(256, 128)",0.0001,32,2,0.11565664410591125,0.8288886547088623,0.6857481798092785,0.4664106987788923,0.6762503621384222,0.49112450422998655
"(256, 128)","(256, 128)",0.0001,64,0,0.1756616234779358,0.8026102185249329,0.6711611263483073,0.4807500057273213,0.6838344499054904,0.48068534752907555
"(256, 128)","(256, 128)",0.0001,64,1,0.15701954066753387,0.8052391409873962,0.6756582654432249,0.47824628343414033,0.6998487784069701,0.4543749592897637
"(256, 128)","(256, 128)",0.0001,64,2,0.14106051623821259,0.809451162815094,0.6830141657196059,0.4732215243303125,0.6846966765533176,0.47166639236204755
"(256, 128)","(256, 128, 64)",0.001,32,0,0.16362197697162628,0.8585014343261719,0.7054044071617133,0.4603041963826682,0.7162489577394735,0.4432609349398985
"(256, 128)","(256, 128, 64)",0.001,32,1,0.17761646211147308,0.8426123261451721,0.6962892542824879,0.45806676154446424,0.6843456120615355,0.4686866807442882
"(256, 128)","(256, 128, 64)",0.001,32,2,0.17797674238681793,0.8921692371368408,0.7056279608739321,0.4515071408670611,0.6964801199588372,0.46956043598296093
"(256, 128)","(256, 128, 64)",0.001,64,0,0.21489368379116058,0.8159165382385254,0.6694680571088647,0.48529159518024545,0.6805417210506889,0.48874725621992754
"(256, 128)","(256, 128, 64)",0.001,64,1,0.1436750888824463,0.8645451664924622,0.6764822478132135,0.4697472675335308,0.6763664843580286,0.48592088103842346
"(256, 128)","(256, 128, 64)",0.001,64,2,0.08589465171098709,0.9165760278701782,0.6634508218714504,0.4921988346153041,0.674934535580957,0.4899245751995507
"(256, 128)","(256, 128, 64)",0.0001,32,0,0.11513359844684601,0.8485269546508789,0.6820560533834172,0.4685787631518066,0.6881874449041675,0.47207745934999656
"(256, 128)","(256, 128, 64)",0.0001,32,1,0.10339073836803436,0.8616147041320801,0.6900188150006707,0.46716047096262736,0.6716763192836327,0.5085770481797484
"(256, 128)","(256, 128, 64)",0.0001,32,2,0.10010712593793869,0.8731614947319031,0.6909384476620536,0.46440197799925886,0.7047150359212916,0.45827071389157215
"(256, 128)","(256, 128, 64)",0.0001,64,0,0.13390228152275085,0.8028814196586609,0.6669047424861227,0.4899723336329922,0.682758275130395,0.4940524650720679
"(256, 128)","(256, 128, 64)",0.0001,64,1,0.13673852384090424,0.8306207656860352,0.6898220092519695,0.4686208457601625,0.6910422567948341,0.47311968073365107
"(256, 128)","(256, 128, 64)",0.0001,64,2,0.18243816494941711,0.891068160533905,0.7071348622620174,0.43566589103939046,0.7075694890677392,0.4456998682402341
"(512, 256)","(128, 64)",0.001,32,0,0.21586789190769196,0.8859449028968811,0.6775352971380803,0.47610206533401855,0.6863404594295023,0.4780175055866651
"(512, 256)","(128, 64)",0.001,32,1,0.179896742105484,0.889151394367218,0.6812112669227043,0.4880539298419716,0.6679060151142,0.5035687319918889
"(512, 256)","(128, 64)",0.001,32,2,0.19941890239715576,0.8465202450752258,0.6947582948096177,0.453012321362286,0.6895836807932711,0.4827075453255181
"(512, 256)","(128, 64)",0.001,64,0,0.18808171153068542,0.8826239705085754,0.6695381217363398,0.47413410437618375,0.6848327909985858,0.47031562975441965
"(512, 256)","(128, 64)",0.001,64,1,0.15939006209373474,0.8822066187858582,0.6856306462244243,0.46347288048008495,0.6785695711160055,0.4771952493447078
"(512, 256)","(128, 64)",0.001,64,2,0.2227761298418045,0.9594434499740601,0.6843872036162792,0.46548858253210945,0.6682096707293809,0.497333300562399
"(512, 256)","(128, 64)",0.0001,32,0,0.12722378969192505,0.8486965894699097,0.6981519803569918,0.4538333911920728,0.6894676738967063,0.4525505328769447
"(512, 256)","(128, 64)",0.0001,32,1,0.1163334995508194,0.8390071392059326,0.6894866642194288,0.4574700308230468,0.7071973669120395,0.45093316165379005
"(512, 256)","(128, 64)",0.0001,32,2,0.12601882219314575,0.8451545238494873,0.6861706623345628,0.4606870358911169,0.7046939018301777,0.4420995931174849
"(512, 256)","(128, 64)",0.0001,64,0,0.1655794084072113,0.8505727052688599,0.6966950173521451,0.4499810222138464,0.6960106323565411,0.47148801979473864
