tower_hidden_layers,fusion_hidden_layers,learning_rate,batch_size,val_mae_mean,val_mae_std,val_r2_mean,val_r2_std,test_mae_mean,test_mae_std,test_r2_mean,test_r2_std
"(512, 256)","(128, 64)",0.0001,64,0.7885268643158216,0.002035602938891108,0.4604736609049554,0.004366059439220488,0.775672670302407,0.008650104203763899,0.4836457848769225,0.024306850047589902
"(512, 256)","(128, 64)",0.001,32,0.8124932998591028,0.005489404765123412,0.4436001463343418,0.0019355977823470717,0.7986209492733002,0.016000373007968707,0.4619795130678521,0.016920096575416134
"(512, 256)","(128, 64)",0.001,64,0.7944215665892225,0.0041851009249385,0.45784612099351146,0.006293697651502079,0.7801337584175388,0.008476682998863744,0.477765020765593,0.003744225767071575
"(512, 256)","(256, 128)",0.0001,32,0.7740071857681303,0.010955639312849711,0.4774906171276278,0.013871057023553407,0.7710469201635433,0.01144095095654965,0.4831426136164676,0.010206525787425523
"(512, 256)","(256, 128)",0.0001,64,0.7745844686924898,0.007900317289651489,0.47582854962371196,0.014605025627845825,0.7512620182551143,0.021610529745568395,0.504118924950919,0.03150194231004046
"(512, 256)","(256, 128)",0.001,32,0.7722799878148624,0.023731966871177988,0.47486924705887407,0.026140122072789578,0.7682211185280833,0.014628257954478679,0.4910512786437824,0.012457624785153757
"(512, 256)","(256, 128)",0.001,64,0.7760039101345458,0.014141221097801207,0.48076805769338976,0.02185340077979567,0.7655123566952536,0.01577421543247612,0.49026557981789387,0.013104583251895752
"(512, 256)","(256, 128, 64)",0.0001,32,0.7843846898232406,0.018208823031001565,0.467057631436202,0.02209703172365171,0.7686902162808028,0.012312024678011228,0.48736364100219426,0.006745186433044669
"(512, 256)","(256, 128, 64)",0.0001,64,0.7875401610412581,0.008938269920952877,0.46070228639542643,0.015285721712893031,0.7742983917505583,0.010391829881620773,0.4772897050481913,0.007905823651243262
"(512, 256)","(256, 128, 64)",0.001,32,0.8160994680015543,0.043199163360668105,0.4424243964110177,0.027830778658744244,0.8093505699387339,0.03209513358340824,0.44826327221654355,0.026661804832178275
"(512, 256)","(256, 128, 64)",0.001,64,0.7689922643475455,0.01568582191845018,0.4783029748934989,0.02009263192329722,0.7358385379646076,0.024286317615226618,0.5163355682214926,0.01938403915272137
"(512, 256, 128)","(128, 64)",0.0001,32,0.8309688251582991,0.010741085381654998,0.42464332993038045,0.01433248345341915,0.8075645033826637,0.018147903021684307,0.4486208652440811,0.01921759047675961
"(512, 256, 128)","(128, 64)",0.0001,64,0.8329584833268532,0.00881664695003081,0.41719701731933645,0.01996947168978223,0.8100254585727856,0.006654616260208274,0.4533434182249853,0.01205089278982529
"(512, 256, 128)","(128, 64)",0.001,32,0.8404232157888187,0.02390036437636168,0.4211396120618646,0.03170513528234888,0.8275677204791063,0.017120285464439732,0.4354426459301182,0.01749129373720214
"(512, 256, 128)","(128, 64)",0.001,64,0.8285143523143255,0.01058632441600451,0.4286066103218558,0.01622181382535485,0.8196171364363799,0.00948950636127528,0.4304425332824209,0.012267768896010814
"(512, 256, 128)","(256, 128)",0.0001,32,0.8055572267439137,0.011465714794942442,0.4369701853555197,0.009270471870988334,0.7892627482338126,0.0076293093348315045,0.4589848232650353,0.007866178464808646
"(512, 256, 128)","(256, 128)",0.0001,64,0.812258910962352,0.017005399218889272,0.43775011511266615,0.0209357032042929,0.7938866620259871,0.0012497818360583909,0.45049452942229623,0.008450762878802816
"(512, 256, 128)","(256, 128)",0.001,32,0.8039652683672562,0.026314736346095668,0.4477579930892029,0.009709417967158077,0.7982907534324616,0.01504147577809291,0.4579598441343577,0.005867968727669395
"(512, 256, 128)","(256, 128)",0.001,64,0.8308923535738607,0.027439764278233057,0.43035869099042506,0.014286546492734295,0.8290065774761498,0.02150368753514454,0.4446047252830028,0.014866495489291474
"(512, 256, 128)","(256, 128, 64)",0.0001,32,0.8164015311842174,0.012021170957735862,0.43492308589362444,0.010514415038768803,0.8127935382054426,0.019004814078193173,0.4486181505192031,0.019143301747644687
"(512, 256, 128)","(256, 128, 64)",0.0001,64,0.8168638665207353,0.0015675754949273988,0.4395705785237918,0.011363830739330248,0.7984752088226069,0.010420981226187703,0.4690008709099545,0.009720311929197468
"(512, 256, 128)","(256, 128, 64)",0.001,32,0.8267149833751996,0.024672093616580987,0.42643353366780595,0.02355297143466415,0.8079816177328647,0.014263023094163288,0.4445911831894798,0.006160214134092565
"(512, 256, 128)","(256, 128, 64)",0.001,64,0.7748977640130587,0.012782255996982447,0.46538979974545275,0.008614114529317686,0.770292872911015,0.009644969346318815,0.47512127800538423,0.005419976747484291
