tower_hidden_layers,fusion_hidden_layers,learning_rate,batch_size,trial,train_loss,val_loss,val_mae,val_r2,test_mae,test_r2
"(256, 128)","(128, 64)",0.001,32,0,0.3424886465072632,1.5109387636184692,0.8310621195158489,0.4209901541044886,0.8196972792199801,0.4388586632501872
"(256, 128)","(128, 64)",0.001,32,1,0.33850735425949097,1.3824419975280762,0.8215180713630567,0.4314840790476323,0.8220854927842765,0.42508833081181496
"(256, 128)","(128, 64)",0.001,32,2,0.345783531665802,1.379325270652771,0.8378538937643508,0.4380164062597557,0.8190644696716269,0.4441985553265344
"(256, 128)","(128, 64)",0.001,64,0,0.3092624247074127,1.2757525444030762,0.8065983292141804,0.45973980765271083,0.8124599440114926,0.4441180071171186
"(256, 128)","(128, 64)",0.001,64,1,0.2920045554637909,1.3167190551757812,0.8064188462352724,0.4441641901864818,0.7845095194469509,0.4801271528759068
"(256, 128)","(128, 64)",0.001,64,2,0.31574496626853943,1.2884111404418945,0.806966903533272,0.45230964929768414,0.8035295281038043,0.4547290394968385
"(256, 128)","(128, 64)",0.0001,32,0,0.3823296129703522,1.2711621522903442,0.8161760320547294,0.44181604792894336,0.7771556374656059,0.49940504867023205
"(256, 128)","(128, 64)",0.0001,32,1,0.40752488374710083,1.2709593772888184,0.8110328939276994,0.4450207321597399,0.8216450102599693,0.43814938663210534
"(256, 128)","(128, 64)",0.0001,32,2,0.2842051386833191,1.25432550907135,0.8091707605317288,0.44956774343369854,0.7849892374565351,0.47340987803887413
"(256, 128)","(128, 64)",0.0001,64,0,0.3849981129169464,1.3047823905944824,0.8337893175260138,0.4259321878237682,0.7968083001043368,0.47448391943491
"(256, 128)","(128, 64)",0.0001,64,1,0.3232567608356476,1.2477909326553345,0.8068774488229191,0.45147888700724326,0.781352133195148,0.4850298525865936
"(256, 128)","(128, 64)",0.0001,64,2,0.32053133845329285,1.2923327684402466,0.8178397100653356,0.43344753162669836,0.7971163459757108,0.4571650521785213
"(256, 128)","(256, 128)",0.001,32,0,0.44566085934638977,1.5702613592147827,0.8197047878457806,0.4520882220196454,0.8237291255211256,0.4509259280089064
"(256, 128)","(256, 128)",0.001,32,1,0.2997545003890991,1.3364344835281372,0.7950983113026499,0.4566260628518999,0.792632282308059,0.4583479681727223
"(256, 128)","(256, 128)",0.001,32,2,0.30172717571258545,1.2195038795471191,0.7909917924213886,0.47437945875649645,0.8084008754883587,0.4516684628413934
"(256, 128)","(256, 128)",0.001,64,0,0.312677800655365,1.395814299583435,0.7836018697860043,0.4715804664266159,0.7830105790709236,0.48346930267332766
"(256, 128)","(256, 128)",0.001,64,1,0.5731140971183777,1.2741600275039673,0.8085266407310426,0.46203067042236134,0.7780857021007216,0.5028953155231429
"(256, 128)","(256, 128)",0.001,64,2,0.2025008201599121,1.2599897384643555,0.7598844233902503,0.47874910669409465,0.7439939215741288,0.4998147847849427
"(256, 128)","(256, 128)",0.0001,32,0,0.2891077697277069,1.2615077495574951,0.7967887966854118,0.45102503166629715,0.7740479893714771,0.47933498061352464
"(256, 128)","(256, 128)",0.0001,32,1,0.24745605885982513,1.2423861026763916,0.7928978248592519,0.4574876661161875,0.7818242541539884,0.46855915621078714
"(256, 128)","(256, 128)",0.0001,32,2,0.27316340804100037,1.2262630462646484,0.7992283081017506,0.4643456072042996,0.775383116549453,0.48153238679945254
"(256, 128)","(256, 128)",0.0001,64,0,0.2703392505645752,1.27720046043396,0.7989298604283723,0.4410175471784914,0.7696406839830193,0.4808566807262994
"(256, 128)","(256, 128)",0.0001,64,1,0.3086969256401062,1.2574366331100464,0.803000734343998,0.44875274455798575,0.7985626344465785,0.46139212930006646
"(256, 128)","(256, 128)",0.0001,64,2,0.2554987370967865,1.2994171380996704,0.7907315265318806,0.43157116763221437,0.7873574826014536,0.44115987008131363
"(256, 128)","(256, 128, 64)",0.001,32,0,0.2752546966075897,1.363529086112976,0.8147063700469211,0.4289035338971182,0.8171386227949297,0.42024870013346693
"(256, 128)","(256, 128, 64)",0.001,32,1,0.31577160954475403,1.3506003618240356,0.8026388445117161,0.44884923829087897,0.7970863715225409,0.468875498031065
"(256, 128)","(256, 128, 64)",0.001,32,2,0.3476549983024597,1.4046069383621216,0.8101733200559825,0.43831610279635036,0.8141571341177419,0.4519090710156197
"(256, 128)","(256, 128, 64)",0.001,64,0,0.23336757719516754,1.2438760995864868,0.7542416849598848,0.48342733577486763,0.7443825621635979,0.4926216320234045
"(256, 128)","(256, 128, 64)",0.001,64,1,0.24748438596725464,1.3163284063339233,0.7660289323862561,0.4696871051908814,0.7299203518122666,0.5150597071318646
"(256, 128)","(256, 128, 64)",0.001,64,2,0.33988237380981445,1.2385655641555786,0.7993846132345793,0.4598679538224899,0.8017691849304517,0.45684660945979105
"(256, 128)","(256, 128, 64)",0.0001,32,0,0.2361600548028946,1.2237036228179932,0.7858480869614131,0.471396993810255,0.7738086404470422,0.4845376183099699
"(256, 128)","(256, 128, 64)",0.0001,32,1,0.28663524985313416,1.2694565057754517,0.8091030007336298,0.4539297580365468,0.7871867959420882,0.48199186788658144
"(256, 128)","(256, 128, 64)",0.0001,32,2,0.24047157168388367,1.2015306949615479,0.7784291877763388,0.4784271594924614,0.7613657777527594,0.5042770986856113
"(256, 128)","(256, 128, 64)",0.0001,64,0,0.23549380898475647,1.2620484828948975,0.7970163060704221,0.44806284512734484,0.7625696967158446,0.4837136412757539
"(256, 128)","(256, 128, 64)",0.0001,64,1,0.28786930441856384,1.2622160911560059,0.8008632352687417,0.45124910958502484,0.7888212065317605,0.47967979990764553
"(256, 128)","(256, 128, 64)",0.0001,64,2,0.27921828627586365,1.232702374458313,0.796425833903292,0.4674191639809575,0.7768204684048359,0.4831444478197555
"(512, 256)","(128, 64)",0.001,32,0,0.3558186888694763,1.3239929676055908,0.8162482986702829,0.44210748129854116,0.8147286813853024,0.44335129611072976
"(512, 256)","(128, 64)",0.001,32,1,0.3155629336833954,1.3106497526168823,0.8061932952108491,0.44290581855460054,0.7827301411446465,0.47639576010491924
"(512, 256)","(128, 64)",0.001,32,2,0.36773157119750977,1.275600790977478,0.8150383056961762,0.44578713914988366,0.7984040252899516,0.46619148298790736
"(512, 256)","(128, 64)",0.001,64,0,0.40094658732414246,1.335959792137146,0.7934664985010195,0.45060674059189454,0.7898996576912648,0.4734440297104555
"(512, 256)","(128, 64)",0.001,64,1,0.2925868034362793,1.3371776342391968,0.7907965461288606,0.4620173170229708,0.7758205132609164,0.480052022501977
"(512, 256)","(128, 64)",0.001,64,2,0.31148844957351685,1.28233802318573,0.7990016551377875,0.46091430536566924,0.7746811043004355,0.47979901008434667
"(512, 256)","(128, 64)",0.0001,32,0,0.2699469327926636,1.23255455493927,0.7958794171662449,0.4600846289625661,0.7652726713729144,0.49300971895298806
"(512, 256)","(128, 64)",0.0001,32,1,0.2745913565158844,1.2688766717910767,0.7960530539084101,0.4471574846112173,0.7805696087458217,0.46951572984674994
"(512, 256)","(128, 64)",0.0001,32,2,0.2935466766357422,1.2685364484786987,0.8032821787100283,0.4498262183522175,0.7755488694884193,0.48290129334607756
"(512, 256)","(128, 64)",0.0001,64,0,0.23967482149600983,1.236099362373352,0.7908760668463178,0.4565294507400107,0.769343951205323,0.4878399707696467
"(512, 256)","(128, 64)",0.0001,64,1,0.2962953448295593,1.2352920770645142,0.7872843297902739,0.45972641318614094,0.7721448860480541,0.5055826171771567
"(512, 256)","(128, 64)",0.0001,64,2,0.27818360924720764,1.2222708463668823,0.7874201963108732,0.4651651187887146,0.7855291736538441,0.4575147666839642
"(512, 256)","(256, 128)",0.001,32,0,0.28297269344329834,1.2304068803787231,0.7503076991682956,0.5000655334904854,0.7514356459299969,0.5042188889445443
"(512, 256)","(256, 128)",0.001,32,1,0.26893407106399536,1.3303821086883545,0.7974478157581768,0.4478778295622632,0.7782484382685384,0.48948274462397157
"(512, 256)","(256, 128)",0.001,32,2,0.2934570908546448,1.3081181049346924,0.7690844485181149,0.47666437812387363,0.7749792713857144,0.47945220236283137
"(512, 256)","(256, 128)",0.001,64,0,0.26673465967178345,1.2760168313980103,0.7617626284578738,0.5044328154389396,0.7517034507196001,0.4989160243547339
"(512, 256)","(256, 128)",0.001,64,1,0.27256670594215393,1.2903295755386353,0.7762062017267711,0.47652221665257133,0.7621303399617994,0.49669244847134375
"(512, 256)","(256, 128)",0.001,64,2,0.4967193007469177,1.2361088991165161,0.7900429002189926,0.46134914098865853,0.7827032794043618,0.47518826662760394
"(512, 256)","(256, 128)",0.0001,32,0,0.21852140128612518,1.2387008666992188,0.7851493743084074,0.4623686243130837,0.7675648371135557,0.4859825023051606
"(512, 256)","(256, 128)",0.0001,32,1,0.22152583301067352,1.2330617904663086,0.7736240350841294,0.480479937372011,0.7838243416210564,0.471816891017675
"(512, 256)","(256, 128)",0.0001,32,2,0.21175597608089447,1.166538119316101,0.7632481479118541,0.4896232896977888,0.7617515817560176,0.4916284475265672
"(512, 256)","(256, 128)",0.0001,64,0,0.21805886924266815,1.2283337116241455,0.7793671316611414,0.4625950078372083,0.7760662608061507,0.46836866235553465
"(512, 256)","(256, 128)",0.0001,64,1,0.24333268404006958,1.2007259130477905,0.7789206638319229,0.4733920447325485,0.7364982959366358,0.5278088144186395
"(512, 256)","(256, 128)",0.0001,64,2,0.1843406856060028,1.158332109451294,0.7654656105844053,0.49149859630137904,0.7412214980225562,0.5161792980785831
"(512, 256)","(256, 128, 64)",0.001,32,0,0.46193981170654297,1.4568274021148682,0.8650612819346069,0.4146216311243016,0.8462824492076757,0.4321671766266657
"(512, 256)","(256, 128, 64)",0.001,32,1,0.28947311639785767,1.299316644668579,0.7833588214900694,0.47028310410471563,0.7882153944613579,0.47903880594768533
"(512, 256)","(256, 128, 64)",0.001,32,2,0.31417158246040344,1.2659801244735718,0.7998783005799869,0.442368454004036,0.793553866147168,0.43358383407527945
"(512, 256)","(256, 128, 64)",0.001,64,0,0.2614186108112335,1.2155283689498901,0.7786013372593232,0.47205797876340283,0.7637566737667287,0.49458244877267454
"(512, 256)","(256, 128, 64)",0.001,64,1,0.20670819282531738,1.3067090511322021,0.7774841295699091,0.462074403863884,0.719586329573213,0.5317774668772766
"(512, 256)","(256, 128, 64)",0.001,64,2,0.2378702163696289,1.3241037130355835,0.750891326213404,0.5007765420532098,0.7241726105538812,0.5226467890145265
"(512, 256)","(256, 128, 64)",0.0001,32,0,0.22565217316150665,1.2504183053970337,0.7886439383110133,0.4600158286989534,0.7765115167981267,0.47968650467745233
"(512, 256)","(256, 128, 64)",0.0001,32,1,0.2189420461654663,1.2908772230148315,0.8000863677727974,0.4493396869874724,0.7750609275727934,0.49006478953882215
"(512, 256)","(256, 128, 64)",0.0001,32,2,0.21547339856624603,1.1894690990447998,0.7644237633859112,0.4918173786221801,0.7544982044714882,0.49233962879030835
"(512, 256)","(256, 128, 64)",0.0001,64,0,0.20745454728603363,1.2341487407684326,0.7833220855005674,0.46501215068197643,0.7683355562140103,0.48191511317679225
"(512, 256)","(256, 128, 64)",0.0001,64,1,0.21469886600971222,1.2811558246612549,0.7978069281666128,0.44372432856042265,0.7682618511821794,0.4817928829765211
"(512, 256)","(256, 128, 64)",0.0001,64,2,0.22497475147247314,1.2091950178146362,0.7814914694565942,0.4733703799438801,0.7862977678554851,0.46816111899126056
"(512, 256, 128)","(128, 64)",0.001,32,0,0.3459712564945221,1.5526213645935059,0.8566843641381362,0.39051156639591333,0.8446680774195098,0.41612564133602814
"(512, 256, 128)","(128, 64)",0.001,32,1,0.3561810553073883,1.4059865474700928,0.8516034859274979,0.4190853385683334,0.8276075081768826,0.45020853079899137
"(512, 256, 128)","(128, 64)",0.001,32,2,0.3146473169326782,1.34096097946167,0.8129817973008221,0.45382193122134695,0.8104275758409267,0.4399937656553352
"(512, 256, 128)","(128, 64)",0.001,64,0,0.2764601409435272,1.3887115716934204,0.8377283749762393,0.4132916306729285,0.8286057498156577,0.4281742558631382
"(512, 256, 128)","(128, 64)",0.001,64,1,0.305433988571167,1.3149783611297607,0.8169505741746996,0.44560411045408577,0.8096956432639412,0.4436861452195734
"(512, 256, 128)","(128, 64)",0.001,64,2,0.2815834581851959,1.3375540971755981,0.8308641077920373,0.42692408983855323,0.8205500162295406,0.4194671987645511
